experiment_level,device,lr,epochs,batch_size,dataset,save_logs,hidden_dim,num_layers,is_logical,l_factor,decision_tree,constrains_handler,test_rate,true_positive,true_negative,false_positive,false_negative,recall,specificity,precision,balanced_accuracy,FPR,ROC_AUC,decision_boundary,model,train_loop,dt_max_depth,dt_attribute_list,model_variant,constrains_type
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.9832545423477816,17259,4,139,155,0.9910991156535024,0.0279720279700718,0.9920105759276974,0.5095355718117871,0.972027971959998,0.5208515212822092,7.288189181053895e-07,NodeOCGINLossConstrains,train_node_ocgin_supression,3.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.8165973685709403,14201,136,7,3213,0.815493281267477,0.951048950982444,0.9995073198191164,0.8832711161249606,0.0489510489476258,0.7884197747813229,0.0290081314742565,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.623682861536709,10843,107,36,6571,0.6226599287925676,0.7482517481994229,0.9966908723219076,0.6854558384959952,0.2517482517306469,0.6725631093381179,0.5000985860824585,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_add,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.2748761177877769,4701,125,18,12713,0.2699552084528138,0.8741258740647464,0.996185632547158,0.5720405412587801,0.1258741258653234,0.5396977835533021,7.833692166059336e-07,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.7874352110269408,13712,113,30,3702,0.7874124267825959,0.7902097901545307,0.9978169116569656,0.7888111084685634,0.2097902097755391,0.8247278734817497,0.0006244443939067,NodeOCGINLossConstrains,train_node_ocgin_weighting,3.0,"node_features, node_degree, clustering_coefficient",logic_forecast_weight,inference
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.021131172751609,228,143,0,17186,0.0130929137475519,0.9999999999300698,0.9999999999561404,0.5065464568388108,0.0,0.5064890318134834,0.00107151735574,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.0148089081278122,117,143,0,17297,0.0067187320546647,0.9999999999300698,0.99999999991453,0.5033593659923673,0.0,0.5,5.215977580519393e-06,NodeOCGINLossConstrains,train_node_ocgin_add_loss_constrains,4.0,"node_features, node_degree, clustering_coefficient",logic_add,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.1585122743065444,2661,122,21,14753,0.1528080854484019,0.8531468530871925,0.9921700223676652,0.5029774692677973,0.1468531468428774,0.529224938378493,3.548946779119433e-06,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLDistanceBasedHandler,0.9850771771942816,17189,106,37,225,0.9870793614327626,0.7412587412069049,0.9978520840584012,0.8641690513198338,0.2587412587231649,0.8322467414290086,0.0013344422914087,NodeOCGINLossConstrains,train_node_ocgin_weighting,4.0,"node_features, node_degree, clustering_coefficient",logic_weight,loss
node,cuda,0.001,50,32,CS,False,4,2,True,0.1,,NLFuzzyBasedHandler,0.0088283875377342,16,139,4,17398,0.0009188009647404,0.972027971959998,0.7999999996,0.4864733864623692,0.0279720279700718,0.4859302578666309,0.0005621553282253,NodeOCGINLossConstrains,train_node_ocgin_supression,4.0,"node_features, node_degree, clustering_coefficient",logic_ignore_sus,loss
